neighbourhood,area,rooms,parking,bathrooms,price,lat_value,lon_value,has_multiple_parking_spaces
Floradas de São José,124.45,3,1,2,475000.0,-23.2213004,-45.8883248,0
Jardim das Colinas,124.93,4,3,5,2700000.0,-23.2034236,-45.9105214,1
Vila Adyana,124.55,4,3,5,3000000.0,-23.2002824,-45.8940021,1
Jardim Nova América,124.14,3,1,2,700000.0,-23.1924655,-45.8963467,0
Cidade Morumbi,124.85,3,2,2,430000.0,-23.2499985,-45.9083387,1
Jardim Portugal,124.58,3,1,2,459000.0,-23.258028,-45.881022,0
Jardim América,124.12,3,2,3,850000.0,-23.2265205,-45.8968879,1
Vila Adyana,124.66,3,1,3,1150000.0,-23.1968045,-45.8943248,0
Jardim América,124.08,3,1,2,445001.0,-23.225225,-45.8971092,0
Parque Industrial,124.65,2,1,2,390000.0,-23.2341477,-45.9050416,0
Jardim das Indústrias,124.11,3,2,2,1230000.0,-23.2341234,-45.9256624,1
Jardim Sul,124.37,2,1,1,296800.0,-23.2505639,-45.8914715,0
Jardim das Colinas,124.93,2,2,2,945780.0,-23.1985042,-45.9128647,1
Jardim América,124.45,3,1,1,769000.0,-23.2319718,-45.8942925,0
Jardim Oriente,124.01,2,1,1,369000.0,-23.2402544,-45.8933781,0
Parque Industrial,124.52,3,2,2,685000.0,-23.2267306,-45.9036805,1
Jardim América,124.47,3,1,2,599000.0,-23.2265205,-45.8968879,0
Jardim Satélite,124.95,2,1,1,360000.0,-23.2233825,-45.8847575,0
Jardim das Colinas,124.24,1,2,2,744000.0,-23.1985042,-45.9128647,1
Parque Industrial,124.83,2,2,2,550000.0,-23.2341477,-45.9050416,1
Conjunto Residencial Trinta e Um de Março,124.53,2,1,2,525000.0,-23.2534054,-45.9166353,0
Vila Ema,124.71,1,2,2,745000.0,-23.2092982,-45.9032947,1
Condomínio Royal Park,124.01,3,2,1,974460.0,-23.2228195,-45.9104962,1
Jardim Estoril,124.36,2,1,2,446000.0,-23.253497,-45.8829921,0
Floradas de São José,124.74,3,1,2,475000.0,-23.2213004,-45.8883248,0
Vila Betânia,124.17,3,2,2,725000.0,-23.2052682,-45.8881552,1
Parque Residencial Flamboyant,124.81,2,1,1,280000.0,-23.214223,-45.851209,0
Parque Residencial Aquarius,124.47,3,2,2,780000.0,-23.2221126,-45.9095335,1
Jardim Satélite,124.95,1,1,1,330000.0,-23.2223764,-45.8856605,0
Vila Adyana,124.35,4,3,5,3180000.0,-23.2002824,-45.8940021,1
Jardim Bela Vista,124.39,3,1,2,515000.0,-23.1835214,-45.8878957,0
Bosque dos Eucaliptos,124.95,4,2,2,797000.0,-23.2629313,-45.8910605,1
Bosque dos Eucaliptos,124.07,4,1,3,580000.0,-23.2455112,-45.8846834,0
Jardim América,124.5,3,1,2,585000.0,-23.2340199,-45.90173,0
Conjunto Residencial Trinta e Um de Março,124.09,2,1,2,446000.0,-23.2502173,-45.9170663,0
Parque Residencial Aquarius,124.46,3,2,3,1600000.0,-23.2221126,-45.9095335,1
Altos do Esplanada,124.04,3,3,5,2300000.0,-23.2127421,-45.9069145,1
Jardim Veneza,124.97,2,1,2,450000.0,-23.2436303,-45.9132175,0
Parque Industrial,124.92,3,2,2,590000.0,-23.2267306,-45.9036805,1
Jardim América,124.26,2,2,2,435000.0,-23.2308616,-45.8942314,1
Jardim América,124.79,2,1,1,400000.0,-23.2308616,-45.8942314,0
Parque Residencial Aquarius,124.45,4,0,3,900000.0,-23.2189526,-45.9097968,0
Vila Betânia,124.19,4,3,5,1380000.0,-23.2081295,-45.8916807,1
Parque Residencial Aquarius,124.78,1,1,2,950000.0,-23.2157422,-45.9060993,0
Jardim das Colinas,124.8,4,3,6,3058000.0,-23.2082214,-45.9083253,1
Condomínio Residencial Colinas do Paratehy,124.43,2,1,2,419900.0,-23.1841579,-45.9547335,0
Jardim Esplanada II,124.77,1,2,1,380000.0,-23.2082214,-45.9083253,1
Jardim Esplanada,124.4,2,2,1,450000.0,-23.1970039,-45.9084535,1
Centro,124.52,3,1,2,480000.0,-23.1856422,-45.8843941,0
Vila Guaianazes,124.23,3,3,3,2500000.0,-23.2035631,-45.8969895,1
Jardim Oriente,124.68,2,1,2,349900.0,-23.2402544,-45.8933781,0
Vila Adyana,124.04,2,2,2,855000.0,-23.1953887,-45.8927812,1
Jardim São José II,124.58,2,1,1,199000.0,-23.1745967,-45.7865609,0
Jardim Aparecida,124.7,2,1,1,405000.0,-23.1961965,-45.8841151,0
Jardim São Judas Tadeu,124.99,2,1,1,202000.0,-23.256849,-45.8316624,0
Vila Ema,124.83,2,2,2,570000.0,-23.2092982,-45.9032947,1
Conjunto Residencial Trinta e Um de Março,124.37,3,2,2,554036.0,-23.2534054,-45.9166353,1
Jardim das Indústrias,124.5,3,3,4,1330000.0,-23.2327074,-45.9275569,1
Jardim Esplanada,124.04,4,3,3,1090000.0,-23.1979166,-45.9113619,1
Jardim Esplanada II,124.08,4,4,4,3500000.0,-23.2082214,-45.9083253,1
Parque Industrial,124.82,2,1,2,385000.0,-23.2360898,-45.9078061,0
Vila Betânia,124.25,1,1,1,300000.0,-23.2052682,-45.8881552,0
Condomínio Residencial Colinas do Paratehy,124.89,2,1,2,426000.0,-23.1827844,-45.9503959,0
Vila Adyana,124.59,4,3,6,2800000.0,-23.2002824,-45.8940021,1
Parque Residencial Aquarius,124.66,3,2,2,723000.0,-23.2154269,-45.908121,1
Jardim Esplanada,124.62,1,1,1,430000.0,-23.1979166,-45.9113619,0
Jardim Satélite,124.16,2,1,1,320000.0,-23.2223764,-45.8856605,0
Jardim Oswaldo Cruz,124.5,3,1,2,670000.0,-23.2012499,-45.8834841,0
Jardim Satélite,124.87,2,1,1,265000.0,-23.2629313,-45.8910605,0
Parque Residencial Aquarius,124.24,4,3,6,1827000.0,-23.2151853,-45.9090412,1
Jardim Augusta,124.67,3,2,2,829000.0,-23.1976423,-45.8819124,1
Monte Castelo,124.66,3,1,2,352000.0,-23.1775485,-45.8397078,0
Jardim São Dimas,124.29,2,1,2,400000.0,-23.1954377,-45.887903,0
Vila Maria,124.37,2,1,1,349000.0,-23.1761487,-45.8788448,0
Palmeiras de São José,124.09,3,1,2,570000.0,-23.2351577,-45.9140475,0
Jardim Augusta,124.72,3,2,2,770000.0,-23.1976423,-45.8819124,1
Bosque dos Eucaliptos,124.32,3,2,3,590000.0,-23.2629313,-45.8910605,1
Jardim Oswaldo Cruz,124.39,2,2,2,450000.0,-23.1982391,-45.8827334,1
Parque Residencial Aquarius,124.89,4,2,4,1300000.0,-23.2154269,-45.908121,1
Jardim Copacabana,124.8,2,1,1,336000.0,-23.1737442,-45.8471662,0
Jardim Apolo I,124.13,3,2,3,1050000.0,-23.1956647,-45.8937347,1
Palmeiras de São José,124.07,3,1,2,539999.0,-23.2502173,-45.9170663,0
Parque Residencial Flamboyant,124.22,2,1,2,329899.0,-23.218442,-45.850115,0
Vila Ema,124.45,2,2,2,890000.0,-23.2038811,-45.9021055,1
Parque Residencial Aquarius,124.42,3,2,1,2015000.0,-23.2170569,-45.9088967,1
Jardim Oriente,124.26,2,1,1,300000.0,-23.2419875,-45.895779,0
Vila Ema,124.54,4,3,5,1397000.0,-23.2067195,-45.9024486,1
Jardim Vale do Sol,124.76,2,1,1,220000.0,-23.2572039,-45.9110891,0
Vila Betânia,124.25,3,2,2,719900.0,-23.2052682,-45.8881552,1
Parque Industrial,124.8,2,1,2,475000.0,-23.2388871,-45.9070677,0
Jardim América,124.11,2,1,1,420000.0,-23.2380792,-45.9010799,0
Floradas de São José,124.21,2,1,1,320000.0,-23.221191,-45.8893811,0
Parque Residencial Aquarius,124.14,5,5,5,1849900.0,-23.2131162,-45.9078311,1
Parque Residencial Aquarius,124.65,4,2,3,955000.0,-23.2206945,-45.9101028,1
Monte Castelo,124.88,3,1,2,320000.0,-23.185844,-45.8684832,0
Vila Ema,124.59,3,2,3,575000.0,-23.2071612,-45.9009565,1
Jardim Paraíso,124.8,3,1,2,580000.0,-23.237943,-45.9011183,0
Vila Industrial,124.41,3,1,2,380000.0,-23.1846367,-45.8600303,0
Jardim América,124.4,2,1,2,429000.0,-23.2319718,-45.8942925,0
Parque Residencial Aquarius,124.62,2,1,1,565000.0,-23.221044,-45.909243,0
Jardim Esplanada,124.74,2,2,2,587353.0,-23.1979166,-45.9113619,1
Parque Residencial Aquarius,124.29,2,2,2,765000.0,-23.2160733,-45.9093275,1
Jardim das Colinas,124.68,4,0,5,2700000.0,-23.2082214,-45.9083253,0
Bosque dos Eucaliptos,124.47,4,2,3,900000.0,-23.2629313,-45.8910605,1
Altos do Esplanada,124.41,3,3,5,2160000.0,-23.2127421,-45.9069145,1
Vila Ema,124.76,3,2,2,549999.0,-23.2092982,-45.9032947,1
Urbanova,124.76,3,2,3,1100000.0,-23.1987975,-45.9352675,1
Parque Industrial,124.85,2,1,2,450000.0,-23.2534054,-45.9166353,0
Jardim Augusta,124.57,2,2,2,599000.0,-23.1976423,-45.8819124,1
Loteamento Terra Brasilis,124.95,2,1,1,260000.0,-23.2456094,-45.824975,0
Jardim Oriente,124.08,2,50,2,369900.0,-23.2402544,-45.8933781,1
Centro,124.91,3,2,4,650000.0,-23.2140071,-45.841297,1
Urbanova,124.71,2,1,1,419900.0,-23.1947609,-45.9334296,0
Condomínio Royal Park,124.42,3,2,3,1390000.0,-23.2228195,-45.9104962,1
Jardim Oriente,124.23,3,1,2,419900.0,-23.2402544,-45.8933781,0
Urbanova VI,124.77,3,2,3,540000.0,-23.2028942,-45.950933,1
Floradas de São José,124.82,3,1,2,585000.0,-23.2200575,-45.8896572,0
Parque Residencial Aquarius,124.39,1,1,2,665000.0,-23.2190993,-45.9082337,0
Jardim Esplanada,124.38,3,2,2,830000.0,-23.1970039,-45.9084535,1
Parque Industrial,124.59,2,1,1,522000.0,-23.2311239,-45.9066157,0
Cidade Vista Verde,124.68,2,1,1,300000.0,-23.1767396,-45.8279302,0
Centro,124.04,3,1,2,425500.0,-23.1909379,-45.886436,0
Parque Industrial,124.1,2,1,1,340000.0,-23.2344627,-45.907685,0
Urbanova,124.67,2,1,2,399901.0,-23.1987975,-45.9352675,0
Jardim das Indústrias,124.78,2,2,2,740000.0,-23.2341234,-45.9256624,1
Jardim Apolo I,124.13,1,1,1,233734.0,-23.1956647,-45.8937347,0
Monte Castelo,124.91,2,2,2,420000.0,-23.1417569,-45.7825794,1
Parque Residencial Aquarius,124.51,3,2,2,1380000.0,-23.2202839,-45.9064383,1
Conjunto Residencial Trinta e Um de Março,124.36,2,1,2,745000.0,-23.2534054,-45.9166353,0
Vila Ema,124.94,3,3,5,1990000.0,-23.2071612,-45.9009565,1
Floradas de São José,124.87,4,2,2,700000.0,-23.2213004,-45.8883248,1
Vila Sanches,124.01,3,2,1,695000.0,-23.2041152,-45.8853984,1
Vila Betânia,124.74,4,2,4,1000000.0,-23.2052682,-45.8881552,1
Jardim Satélite,124.51,2,1,1,378000.0,-23.2264164,-45.8945991,0
Jardim América,124.67,2,1,1,425500.0,-23.2308616,-45.8942314,0
Jardim das Indústrias,124.89,2,2,2,719000.0,-23.2341234,-45.9256624,1
Parque Industrial,124.87,2,1,1,375000.0,-23.2602632,-45.9113258,0
Conjunto Residencial Trinta e Um de Março,124.63,2,1,1,330000.0,-23.2502173,-45.9170663,0
Vila Adyana,124.56,3,2,2,950000.0,-23.2027939,-45.8950075,1
Vila Ema,124.54,3,2,4,1580000.0,-23.2038811,-45.9021055,1
Jardim Veneza,124.59,2,1,2,450000.0,-23.2436303,-45.9132175,0
Parque Industrial,124.77,2,1,2,535000.0,-23.2267306,-45.9036805,0
Condomínio Residencial Colinas do Paratehy,124.85,2,1,2,419900.0,-23.1841579,-45.9547335,0
Condomínio Residencial Colinas do Paratehy,124.49,2,1,2,435000.0,-23.1827844,-45.9503959,0
Floradas de São José,124.16,3,1,2,450000.0,-23.2200324,-45.8872035,0
Palmeiras de São José,124.35,2,1,2,445000.0,-23.2502173,-45.9170663,0
Floradas de São José,124.55,3,1,2,420000.0,-23.2213004,-45.8883248,0
Floradas de São José,124.21,3,2,3,975200.0,-23.2198567,-45.8913555,1
Parque Residencial Flamboyant,124.0,2,1,2,309900.0,-23.214223,-45.851209,0
Vila Ema,124.07,3,2,4,1650000.0,-23.2038811,-45.9021055,1
Jardim Satélite,124.64,2,1,1,350000.0,-23.2324573,-45.8781391,0
Jardim Apolo I,124.51,3,2,2,1150000.0,-23.1956647,-45.8937347,1
Parque Industrial,124.16,2,1,2,535000.0,-23.2267306,-45.9036805,0
Parque Residencial Aquarius,124.42,3,2,4,1698000.0,-23.2221126,-45.9095335,1
Condomínio Residencial Colinas do Paratehy,124.54,2,1,2,450500.0,-23.1841579,-45.9547335,0
Jardim das Indústrias,124.89,3,3,4,1700000.0,-23.2327074,-45.9275569,1
Vila Adyana,124.48,4,0,4,1200000.0,-23.2002824,-45.8940021,0
Parque Industrial,124.29,2,2,2,515000.0,-23.2534054,-45.9166353,1
Jardim das Indústrias,124.69,2,1,2,405651.0,-23.2240746,-45.9180774,0
Parque Residencial Aquarius,124.55,4,2,3,727000.0,-23.2205233,-45.9051222,1
Jardim Satélite,124.95,2,1,1,265000.0,-23.2629313,-45.8910605,0
Jardim São Dimas,124.51,3,2,2,770000.0,-23.195717,-45.8906907,1
Jardim América,124.9,2,1,1,420000.0,-23.2380792,-45.9010799,0
Jardim das Colinas,124.66,4,3,5,2700000.0,-23.2034236,-45.9105214,1
Jardim Oswaldo Cruz,124.22,3,2,2,900000.0,-23.2008318,-45.8830378,1
Jardim Veneza,124.58,2,2,2,600000.0,-23.2409567,-45.914431,1
Vila Ema,124.75,2,3,4,1150000.0,-23.2087038,-45.8998756,1
Vila Ema,124.79,3,2,3,1182092.0,-23.2038811,-45.9021055,1
Jardim Oswaldo Cruz,124.07,2,1,2,530000.0,-23.2008318,-45.8830378,0
Chácaras São José,124.66,2,1,1,272000.0,-23.2094966,-45.8519997,0
Palmeiras de São José,124.02,2,1,1,285000.0,-23.2400181,-45.9134951,0
Jardim América,124.54,3,1,2,380000.0,-23.225225,-45.8971092,0
Vila Guaianazes,124.9,2,1,1,421000.0,-23.2035631,-45.8969895,0
Condomínio Royal Park,124.03,4,2,4,1715839.0,-23.2261461,-45.9074786,1
Vila Betânia,124.44,3,2,3,670000.0,-23.2052682,-45.8881552,1
Palmeiras de São José,124.56,2,1,1,297000.0,-23.2400181,-45.9134951,0
Jardim Portugal,124.88,2,1,2,359904.0,-23.258028,-45.881022,0
Jardim Sul,124.0,2,1,1,270000.0,-23.2505639,-45.8914715,0
Vila Tatetuba,124.09,2,1,1,235000.0,-23.1853312,-45.8543047,0
Monte Castelo,124.67,3,1,2,415000.0,-23.1417569,-45.7825794,0
Urbanova VI,124.37,1,0,1,250000.0,-23.2028942,-45.950933,0
Jardim Estoril,124.15,3,2,2,713000.0,-23.253497,-45.8829921,1
Jardim Esplanada II,124.86,4,2,4,980000.0,-23.2082214,-45.9083253,1
Parque Residencial Aquarius,124.69,3,2,3,960000.0,-23.2202839,-45.9064383,1
Jardim Satélite,124.78,2,1,1,320000.0,-23.2223764,-45.8856605,0
Vila Sanches,124.55,3,2,2,740000.0,-23.2041152,-45.8853984,1
Jardim Aparecida,124.6,2,1,1,320000.0,-23.1961965,-45.8841151,0
Jardim Minas Gerais,124.12,2,1,1,205000.0,-23.1524341,-45.9119804,0
Jardim das Indústrias,124.46,3,2,2,545000.0,-23.2276655,-45.9184689,1
Centro,124.0,3,2,2,450000.0,-23.1909379,-45.886436,1
Jardim Topázio,124.64,3,2,2,371000.0,-23.1961965,-45.8841151,1
Jardim das Indústrias,124.06,2,1,1,385000.0,-23.2341234,-45.9256624,0
Jardim Esplanada II,124.75,3,2,4,2500000.0,-23.2082214,-45.9083253,1
Condomínio Royal Park,124.32,3,2,2,1050000.0,-23.2228195,-45.9104962,1
Jardim Esplanada,124.07,3,2,2,750000.0,-23.1970039,-45.9084535,1
Monte Castelo,124.95,3,1,2,363000.0,-23.1775485,-45.8397078,0
Jardim Apolo I,124.77,4,2,4,999900.0,-23.1956647,-45.8937347,1
Jardim Apolo II,124.54,3,2,2,700000.0,-23.2050581,-45.9048126,1
Jardim Satélite,124.75,3,1,2,449000.0,-23.2296561,-45.8785953,0
Jardim das Indústrias,124.76,3,1,1,750000.0,-23.2341234,-45.9256624,0
Centro,124.63,3,1,2,450000.0,-23.1909379,-45.886436,0
Monte Castelo,124.18,3,2,2,480000.0,-23.1417569,-45.7825794,1
Jardim Aparecida,124.59,2,0,1,340000.0,-23.1961965,-45.8841151,0
Jardim Satélite,124.39,2,1,2,530000.0,-23.2266466,-45.8871058,0
Condomínio Residencial Monaco,124.39,2,1,2,450000.0,-23.1835998,-45.951812,0
Parque Residencial Aquarius,124.73,3,2,3,1650000.0,-23.2221126,-45.9095335,1
Jardim Satélite,124.53,3,2,2,800000.0,-23.2629313,-45.8910605,1
Parque Residencial Aquarius,124.77,1,2,2,1250000.0,-23.2190226,-45.908767,1
Parque Residencial Aquarius,124.82,3,2,3,960000.0,-23.2202839,-45.9064383,1
Parque Residencial Aquarius,124.31,1,1,1,680000.0,-23.2190226,-45.908767,0
Jardim das Indústrias,124.93,3,2,4,1600000.0,-23.2327074,-45.9275569,1
Parque Residencial Aquarius,124.02,3,1,2,650000.0,-23.2216712,-45.9085912,0
Parque Residencial Flamboyant,124.9,2,1,1,280000.0,-23.214223,-45.851209,0
Cidade Morumbi,124.63,2,1,2,420000.0,-23.2499985,-45.9083387,0
Parque Residencial Aquarius,124.57,2,2,2,695000.0,-23.2168256,-45.904412,1
Urbanova,124.78,2,1,2,460000.0,-23.1987975,-45.9352675,0
Parque Residencial Aquarius,124.05,3,2,3,590000.0,-23.2221126,-45.9095335,1
Parque Residencial Aquarius,124.47,3,2,5,1700000.0,-23.2188486,-45.9097772,1
Vila Ema,124.69,3,3,5,1200000.0,-23.2092982,-45.9032947,1
Jardim Oriente,124.23,2,2,2,399900.0,-23.2402544,-45.8933781,1
Floradas de São José,125.0,3,2,2,478000.0,-23.2213004,-45.8883248,1
Jardim Santa Madalena,124.25,2,2,2,790000.0,-23.2043732,-45.8959331,1
Vila Ema,124.84,4,2,5,1450000.0,-23.2087038,-45.8998756,1
Jardim das Colinas,124.16,3,2,4,1041569.0,-23.2067366,-45.9103019,1
Condomínio Royal Park,124.07,3,2,3,1380000.0,-23.2228195,-45.9104962,1
Parque Residencial Aquarius,124.39,3,2,2,680000.0,-23.2154269,-45.908121,1
Parque Residencial Aquarius,124.12,3,1,2,650000.0,-23.2216712,-45.9085912,0
Parque Residencial Flamboyant,124.99,2,1,1,280000.0,-23.214223,-45.851209,0
Cidade Morumbi,124.67,2,1,2,420000.0,-23.2499985,-45.9083387,0
Parque Residencial Aquarius,124.45,2,2,2,695000.0,-23.2168256,-45.904412,1
Urbanova,124.53,2,1,2,460000.0,-23.1987975,-45.9352675,0
Parque Residencial Aquarius,124.62,3,2,3,590000.0,-23.2221126,-45.9095335,1
Jardim Esplanada II,124.64,3,2,4,2500000.0,-23.2082214,-45.9083253,1
Jardim Vale do Sol,124.46,2,1,1,370000.0,-23.2483349,-45.9081992,0
Residencial Frei Galvão,124.33,2,1,1,190000.0,-23.1698499,-45.7893012,0
Jardim Esplanada II,124.16,1,2,1,380000.0,-23.2082214,-45.9083253,1
Jardim Paraíso,124.79,3,1,2,485000.0,-23.237943,-45.9011183,0
Residencial Frei Galvão,124.82,2,1,1,225000.0,-23.1698499,-45.7893012,0
Vila Betânia,124.17,3,2,3,950000.0,-23.2052682,-45.8881552,1
Centro,124.7,4,1,4,1000000.0,-23.2140071,-45.841297,0
Jardim das Indústrias,124.4,2,1,2,375000.0,-23.2240746,-45.9180774,0
Vila Ema,124.99,4,3,4,2660000.0,-23.2057437,-45.9034166,1
Jardim Apolo II,124.14,2,2,1,550000.0,-23.2050581,-45.9048126,1
Parque Industrial,124.59,4,2,4,800000.0,-23.2453896,-45.9090035,1
Jardim Sul,124.88,2,1,1,290000.0,-23.2505639,-45.8914715,0
Jardim Satélite,124.44,3,3,2,640000.0,-23.2161228,-45.8885458,1
Jardim Esplanada,124.77,1,1,1,471226.0,-23.1979166,-45.9113619,0
Jardim Esplanada,124.72,1,1,1,469000.0,-23.1979166,-45.9113619,0
Vila Ema,124.58,3,2,2,500000.0,-23.2092982,-45.9032947,1
Parque Residencial Aquarius,124.68,2,1,2,460000.0,-23.2216712,-45.9085912,0
Jardim América,124.88,2,1,1,400000.0,-23.2307302,-45.8975618,0
Cidade Vista Verde,124.1,2,1,1,300000.0,-23.1757366,-45.8180771,0
Vila Betânia,124.56,3,2,2,650000.0,-23.2052682,-45.8881552,1
Jardim Petrópolis,124.88,2,3,2,430000.0,-23.2415541,-45.9145547,1
Parque Industrial,124.81,4,2,2,700000.0,-23.2534054,-45.9166353,1
Centro,124.04,2,1,2,371000.0,-23.1909379,-45.886436,0
Condomínio Residencial Colinas do Paratehy,124.57,2,1,2,399901.0,-23.1841579,-45.9547335,0
Jardim das Colinas,124.1,4,3,5,2600000.0,-23.2082214,-45.9083253,1
Vila Ema,124.35,3,2,2,1199000.0,-23.2071612,-45.9009565,1
Jardim Maritéia,124.84,2,1,1,280000.0,-23.1504945,-45.9008396,0
Vila Tatetuba,124.75,3,1,2,380000.0,-23.1805844,-45.8471383,0
Parque Residencial Aquarius,124.13,1,1,1,505470.0,-23.2190226,-45.908767,0
Jardim Oswaldo Cruz,124.77,4,4,4,960000.0,-23.2012499,-45.8834841,1
Floradas de São José,124.27,3,1,2,480000.0,-23.2210113,-45.8861064,0
Jardim Satélite,124.2,2,1,2,390000.0,-23.2353431,-45.8919376,0
Jardim Esplanada,124.37,1,1,1,469000.0,-23.1979166,-45.9113619,0
Vila Ema,124.29,3,2,2,500000.0,-23.2092982,-45.9032947,1
Floradas de São José,124.11,4,2,3,692000.0,-23.2210113,-45.8861064,1
Altos do Esplanada,124.32,3,3,5,2400000.0,-23.2127421,-45.9069145,1
Jardim Satélite,124.46,2,1,1,265000.0,-23.2629313,-45.8910605,0
Jardim das Indústrias,124.19,2,1,1,350000.0,-23.2240746,-45.9180774,0
Parque Residencial Aquarius,124.63,2,1,2,598000.0,-23.2202839,-45.9064383,0
Monte Castelo,124.39,2,1,2,318000.0,-23.1839915,-45.8762111,0
Jardim América,124.75,2,1,2,430000.0,-23.2308616,-45.8942314,0
Jardim Satélite,124.3,2,1,2,349000.0,-23.2260246,-45.8795999,0
Parque Residencial Aquarius,124.71,3,2,3,960000.0,-23.2202839,-45.9064383,1
Vila Ema,124.09,3,3,5,1600000.0,-23.2057437,-45.9034166,1
Jardim das Indústrias,124.25,3,2,1,615000.0,-23.2220332,-45.9199542,1
Jardim Oswaldo Cruz,124.11,2,1,1,410000.0,-23.1982391,-45.8827334,0
Jardim Americano,124.97,2,1,1,240000.0,-23.1836107,-45.8043034,0
Monte Castelo,124.41,2,1,1,230000.0,-23.185844,-45.8684832,0
Jardim das Indústrias,124.21,2,1,1,350000.0,-23.2341234,-45.9256624,0
Jardim São Dimas,124.34,3,2,2,960000.0,-23.2032757,-45.8935241,1
Vila Adyana,124.34,3,1,2,721000.0,-23.1982391,-45.8931441,0
Jardim Esplanada,124.32,4,3,3,1090000.0,-23.1979166,-45.9113619,1
Jardim das Indústrias,124.76,4,3,3,1400000.0,-23.2327074,-45.9275569,1
Jardim Oriente,124.75,2,1,1,320000.0,-23.2432353,-45.8932115,0
Condomínio Residencial Colinas do Paratehy,124.94,2,1,2,441975.0,-23.1827844,-45.9503959,0
Jardim Satélite,124.74,3,1,1,550000.0,-23.23324,-45.8887626,0
Vila Ema,124.03,3,2,4,1580000.0,-23.2087038,-45.8998756,1
Jardim Esplanada,124.39,1,1,1,467000.0,-23.1979166,-45.9113619,0
Condomínio Residencial Colinas do Paratehy,124.35,2,1,2,419900.0,-23.1841579,-45.9547335,0
Jardim Apolo I,124.3,1,1,1,237414.0,-23.1956647,-45.8937347,0
Vila Ema,124.56,4,2,3,639000.0,-23.2044684,-45.9010444,1
Vila Adyana,124.64,3,2,2,910000.0,-23.2027939,-45.8950075,1
Jardim das Indústrias,124.44,3,2,2,1230000.0,-23.2341234,-45.9256624,1
Parque Residencial Aquarius,124.14,3,2,2,1650000.0,-23.2221126,-45.9095335,1
Centro,124.55,3,1,2,420000.0,-23.1903996,-45.8891452,0
Jardim Oriente,124.57,2,1,1,320000.0,-23.2432353,-45.8932115,0
